lac|cell|lat|lng|fixlat|fixlng|address
20512|803|31.536423|120.411961|31.534649949311|120.416638380511|中国江苏省无锡市锡山区G42沪蓉高速
20512|807|31.543631|120.415472|31.5418514061177|120.420140028518|中国江苏省无锡市滨湖区新洲路 邮政编码: 214028
20512|808|31.537597|120.423272|31.5358022059148|120.427918588315|中国江苏省无锡市滨湖区新华路209号 邮政编码: 214028
20512|809|31.53825|120.415048|31.536471055172|120.419717016772|中国江苏省无锡市滨湖区新洲路 邮政编码: 214028
20512|1501|31.5401419792887|120.426484771458|31.538332|120.431109|江苏省无锡市滨湖区梅南路112号
20512|1502|31.5356523173041|120.431713218281|31.533832|120.436323|江苏省无锡市滨湖区新友南路9-15
20512|1503|31.5344472599561|120.430085891883|31.53263|120.4347|江苏省无锡市滨湖区新友南路
20512|1507|31.5360257230989|120.429341766721|31.53421|120.433958|江苏省无锡市滨湖区梅育路
20512|1508|31.5353034327323|120.431241966208|31.533484|120.435853|江苏省无锡市滨湖区新友南路9
20512|1509|31.5332192804417|120.430054892726|31.531402|120.434669|江苏省无锡市滨湖区锡梅路51号
20512|2041|31.551726|120.426141|31.5499264223387|120.430780509539|中国江苏省无锡市滨湖区锡义路1号 邮政编码: 214028
20512|2211|31.533999|120.430207|31.5321906400156|120.434834474416|中国江苏省无锡市滨湖区新友南路9号 邮政编码: 214111
20512|2212|31.533751|120.429566|31.5319438637641|120.434195210964|中国江苏省无锡市滨湖区锡梅路51号 邮政编码: 214028
20512|2217|31.536363|120.419388|31.5345756340117|120.424045123612|中国江苏省无锡市滨湖区锡梅路35号-43号 邮政编码: 214028
20512|2218|31.535387|120.429991|31.533579140583|120.434619147783|中国江苏省无锡市滨湖区新友南路9号 邮政编码: 214028
20512|2221|31.531731|120.415464|31.5299510533764|120.420131682176|中国江苏省无锡市锡山区G2京沪高速
20512|2271|31.531146|120.457|31.529285550644|120.461553950644|中国江苏省无锡市滨湖区梅育路117号 邮政编码: 214028
20512|2451|31.545985|120.435144|31.5441679441937|120.439758828994|中国江苏省无锡市滨湖区新友路398号
20512|2461|31.5350118323734|120.394811046313|31.533261|120.399519|江苏省无锡市滨湖区高浪路
20512|2487|31.5712061752862|120.375103661089|31.569427|120.379791|江苏省无锡市滨湖区春阳路30号
20512|2488|31.5447139499915|120.37624197507|31.542936|120.38093|江苏省无锡市滨湖区锡士路
20512|2489|31.5380244740337|120.388920407695|31.536265|120.393622|江苏省无锡市滨湖区锡兴北路3
20512|2531|31.5361499213102|120.404009138569|31.534383|120.408694|江苏省无锡市滨湖区新锡路28
20512|2631|31.540429|120.423862|31.5386332054336|120.428507115834|中国江苏省无锡市滨湖区梅育路 邮政编码: 214028
20512|2641|31.549524|120.436715|31.5477042065473|120.441325834547|中国江苏省无锡市滨湖区新友路398号
20512|2657|31.533681|120.429438|31.5318741070026|120.434067556603|中国江苏省无锡市滨湖区锡梅路51号 邮政编码: 214028
20512|2658|31.534298|120.430426|31.5324892351019|120.435052894302|中国江苏省无锡市滨湖区新友南路9号 邮政编码: 214111
20512|2711|31.557879|120.417387|31.5560962386843|120.422050329084|中国无锡市滨湖区博胜职工公寓 邮政编码: 214111
20512|4221|31.547859|120.42208|31.5460669534534|120.426730289453|中国江苏省无锡市滨湖区锡甘路217号 邮政编码: 214028
20512|4641|31.542309|120.376011|31.5405240314506|120.380695627051|中国江苏省无锡市滨湖区海力士·意法路 邮政编码: 214028
20512|4661|31.5451335417521|120.388861425595|31.543374|120.393563|江苏省无锡市滨湖区海力士一意法路
20512|4671|31.537766|120.417772|31.5359817983547|120.422433580755|中国江苏省无锡市滨湖区锡梅路43号 邮政编码: 214028
20512|4961|31.556266|120.388143|31.554498881646|120.392840624446|中国江苏省无锡市滨湖区锡甘路131号 邮政编码: 214111
20512|4962|31.557411|120.388699|31.5556446973017|120.393397217702|中国江苏省无锡市滨湖区锡甘路 邮政编码: 214111
20512|4963|31.558568|120.387031|31.5567993060684|120.391727493668|中国江苏省无锡市滨湖区新东坊商业街0591溜冰吧 邮政编码: 214111
20512|4964|31.55889|120.386076|31.5571199339844|120.390771503584|中国江苏省无锡市滨湖区新东坊商业街15号 邮政编码: 214111
20512|4965|31.55813|120.385704|31.5563593870265|120.390399105426|中国江苏省无锡市滨湖区新东坊商业街新丰苑二期 邮政编码: 214111
20512|5397|31.527577|120.439134|31.5257508903966|120.443736583197|中国江苏省无锡市滨湖区新韵南路
20512|5398|31.522101|120.43816|31.5202763667483|120.442764838748|中国江苏省无锡市滨湖区新韵南路 G2
20512|5399|31.52168|120.443742|31.5198444126531|120.448331419053|中国江苏省无锡市滨湖区新荣路1号-9号
20512|5407|31.545501|120.436044|31.5436821920761|120.440656356876|中国江苏省无锡市滨湖区新友路398号
20512|5408|31.54127|120.436882|31.5394492802403|120.44149177464|中国江苏省无锡市滨湖区新锦路
20512|5409|31.542162|120.436395|31.540342278972|120.441006162972|中国江苏省无锡市滨湖区新友路398号
20512|7541|31.537576|120.399354|31.5358250552741|120.404063313674|中国江苏省无锡市滨湖区312国道
20512|7542|31.535087|120.401216|31.5333346533316|120.405922680532|中国江苏省无锡市滨湖区312国道
20512|7543|31.540604|120.39551|31.538847447312|120.400215243312|中国江苏省无锡市滨湖区312国道
20512|7891|31.537998|120.431167|31.5361880345673|120.435792100967|中国江苏省无锡市滨湖区梅育路86号
20512|7892|31.536858|120.430623|31.5350490114051|120.435249513005|中国江苏省无锡市滨湖区梅育路68号-76号
20512|7893|31.537539|120.423685|31.5357434082224|120.428330460222|中国江苏省无锡市滨湖区新华路209号 邮政编码: 214111
20512|7897|31.542619|120.427359|31.5408166140264|120.431994726826|中国江苏省无锡市滨湖区新华路209号 邮政编码: 214111
20512|7898|31.537827|120.429986|31.5360192965608|120.434614307761|中国江苏省无锡市滨湖区梅育路
20512|7899|31.541605|120.426419|31.539804360325|120.431057225125|中国江苏省无锡市滨湖区梅苑路5号 邮政编码: 214111
20512|8641|31.551957|120.39486|31.550199557059|120.399564613059|中国江苏省无锡市锡山区G2京沪高速
20512|8642|31.545371|120.400396|31.5436202439338|120.405104927134|中国江苏省无锡市锡山区G42沪蓉高速
